hour,average_cost
23,15.881296
22,17.756
21,16.625107
20,18.952942
19,17.13354
18,19.681458
17,22.781372
16,19.49953
15,20.399822
14,20.335295
13,21.044043
12,17.520857
11,21.097713
10,21.963636
9,17.714285
8,18.665642
7,19.465937
6,21.197666
5,19.039999
4,19.562
3,19.05857
2,20.895714
1,20.28564
0,16.470243
23,15.881296
22,17.756
21,16.625107
20,18.952942
19,17.13354
18,19.681458
17,22.781372
16,19.49953
15,20.399822
14,20.335295
13,21.044043
12,17.520857
11,21.097713
10,21.963636
9,17.714285
8,18.665642
7,19.465937
6,21.197666
5,19.039999
4,19.562
3,19.05857
2,20.895714
1,20.28564
0,16.470243
23,15.881296
22,17.756
21,16.625107
20,18.952942
19,17.13354
18,19.681458
17,22.781372
16,19.49953
15,20.399822
14,20.335295
13,21.044043
12,17.520857
11,21.097713
10,21.963636
9,17.714285
8,18.665642
7,19.465937
6,21.197666
5,19.039999
4,19.562
3,19.05857
2,20.895714
1,20.28564
0,16.470243
